月,テーマ,週,週テーマ,日,テーマ,インプット,ハンズオン,補足,
1,"AI Mastery & Visual Logic

AIを画工として従え、
デザインを論理（Science）で
支配する",1,"AIの完全掌握と
デザインの基礎理論",1,デザインは「設計」である,Art（自己表現）とDesign（課題解決）の違いを定義し、視線誘導（F/Zの法則）や認知負荷の概念を学ぶ。,既存の有名広告をAIに分析させ、視覚心理学の観点から「なぜ優れているか」を言語化させる。,,
,,,,2,生成AI（Nano Banana Pro）の完全制御,プロンプト技術による照明・画角・スタイルの指定と、シード値固定によるトーンの統一を学ぶ。,「サイバーパンクな浮世絵」など複雑な概念を正確に出力する訓練。,,
,,,,3,感情をハックする色彩と文字,色彩心理学が購買意欲に与える影響と、フォントが持つ性格診断を学ぶ。,特定のペルソナに刺さる「配色パレット」と「フォント」の組み合わせをAIに提案させる。,,
,,,,4,ブランド・アイデンティティのシステム化,ロゴ作成のレギュレーションとトンマナ（世界観）の言語化手法を学ぶ。,ブランドコンセプトからAIで50パターンのロゴ案を生成し、実用化する工程を体験する。,,
,,,,5,"Figmaによる骨格設計
（Wireframing）",Figmaの基本操作と、構成案を画面（ワイヤーフレーム）に落とし込む重要性を学ぶ。,FigmaのAIプラグインを使用し、テキスト指示からワイヤーフレームを自動生成して時短を図る。,,
,,2,"UI/UXの科学と
高度なクリエイティブ制作",6,Atomic Designとコンポーネント指向,パーツの再利用（部品化）による一貫性のあるUI構築手法を学ぶ。,ボタンのホバー時やエラー時などのバリエーションをAIに一括生成させる。,,
,,,,7,"成約率を科学する
（The Science of CRO）",CTA（行動喚起）の配置やEFO（入力フォーム最適化）の鉄則を学ぶ。,視線予測AIにデザインを読み込ませ、ユーザーの注目点をシミュレーションして修正する。,,
,,,,8,モバイルファースト戦略とレスポンシブ,スマホの可動域（サムゾーン）や、PC版との優先順位の違いを学ぶ。,PC版のデザインを元に、スマホ版レイアウト案をAIに自動変換・再配置させる。,,
,,,,9,"現実を拡張する写真加工
（Canva × AI）",Canvaの「生成塗りつぶし」を用いた背景拡張や不要オブジェクトの削除技術を学ぶ。,自撮りや商品写真を、スタジオ撮影レベルの照明・背景にAIで差し替える。,,
,,,,10,SNS特化型デザインの高速量産,クリックされる構図のパターン化と、Canva×AIの活用フローを習得する。,1つのマスターから、サイズ・文言違いのバナー数十枚をAIで一括生成（Bulk Create）する。,,
,,3,"ポートフォリオ構築と
言語化の徹底
（コア・シラバス完結）
",11,LP（ランディングページ）のビジュアル戦略,ファーストビュー（FV）のインパクト設計と、AIによる画像の高画質化・軽量化を学ぶ,マーケティングコピーをAIに読み込ませ、最適なビジュアル構成案を出力する,,
,,,,12,ポートフォリオと「人間の感性」の価値,AI時代のディレクターに求められる「意思決定」と「自分」のパッケージングを学ぶ。,AIで作成したモックアップ画像を用いて、自分の成果物の説得力を高める資料を作成する。,,
,,,,13,デザインの「論理性」言語化ドリル（1）,前半で作った作品に対し、「なぜこの色か」「なぜこの配置か」を認知心理学の用語を使って100文字で記述する特訓。,Geminiを仮想ディレクターに見立て、心理学用語を用いたデザイン根拠の論理性を判定・添削させる。,このハンズオンは、単に文章を書くだけでなく、**「AIによる客観的なツッコミ」**を受けることで、論理の飛躍や説明不足を自覚させることを狙いとしています。,
,,,,14,デザインの「論理性」言語化ドリル（2）,他人の作品をAIと一緒に添削し、改善点を「エビデンス（根拠）」に基づいて指摘する。,AIと協働して既存デザインを分析・添削し、認知心理学等のエビデンスに基づいた修正案を提示する。,自分の指摘だけでなく「AIの指摘」を比較対象にすることで、自分が見落としていた視点（エビデンス）に気づき、レビューの多角性を養うことを狙います。,
,,,,15,カスタムAI（Gem）の構築基礎,自分だけのデザインボット（Gem）を作成し、指示出しの自動化を検討する。,ブランド規定や評価基準を搭載した「専属レビューGem」を構築し、制作物へのフィードバックを自動化する。,汎用的なAIではなく、特定のルール（トーン＆マナーやNG項目）をSystem Instructionに組み込むことで、「自分の分身」として機能するカスタムAIの有用性を体感させます。,
,,4,"ビジネス実装と
スピードへの挑戦",16,「80点のクオリティを30分で」タイムアタック,クライアントからの急ぎの依頼を想定し、30分以内にバナー3案をAIで制作し納品レベルまで仕上げる。,生成AIで素材を調達し、30分以内に納品基準を満たすバナー3案を高速制作・完遂させる。,「100点を目指して時間を浪費する」のではなく、AIを活用して「ビジネスで通用する80点」を最速で叩き出す、実務直結のスピード感と判断力を養います。,
,,,,17,ロジック・プロンプトの実践応用,マーケティングの戦略（Marketing科目との連携）を、AIが理解できる「ロジック・プロンプト」に翻訳する技術を磨く,マーケティング戦略をAI用の論理指示書に翻訳し、整合性の取れたビジュアルが出力されるか検証する。,抽象的な「戦略」を、AIが誤解なく実行できる「構造的な命令（ロジック）」に落とし込む、通訳者としてのエンジニアリング能力を養います。,
,,,,18,クライアント提案シミュレーション,制作したモックアップを使い、「このデザインがなぜ売れるのか」を論理的にプレゼンするロールプレイング。,Geminiを仮想顧客に見立て、デザインがビジネス成果に繋がる根拠をプレゼンし、論理的に説得する。,単なる作品紹介ではなく、クライアントの利益（売上・集客）への貢献度をAI相手に言語化・壁打ちし、ビジネスパーソンとしての提案力を鍛えます。,
,,,,19,最新AIツール（Figma Make等）の実験室,Figmaの最新AI機能や、新興のAIデザインツールを触り、業務効率化の限界を模索する。,Figma AI等の最新機能を酷使し、自動化による工数削減効果と実務利用の限界値を検証する。,新しいツールに飛びつくだけでなく、「実務ワークフローのどこに組み込めば最大効果が出るか」を見極め、ツールの成熟度を冷静に評価する選球眼を養います。,
,,,,20,第1か月の総括と「100日実践」への展望,自身のスキルの現在地を確認し、後半3か月の実践期間で「どの市場（クラウドワークス等）で勝つか」の戦略を練る。,,,
2,"Advanced Strategy
（戦略的デザインフェーズ）

行動経済学とAIを融合させ、
「売れる」を科学する",5,"行動経済学・心理学の
視覚実装",21,プロスペクト理論と視覚デザイン,「得をすること」より「損をすること」を避けたい心理をどうデザインに反映させるか。,「利得」の訴求を「損失回避」の文脈に変換し、行動変容を促すデザインへリメイクする。,「お得です」よりも「逃すと損です」と伝えた方が人が動くケース（プロスペクト理論）を、AIによるコピー生成と配色の変更によって実践し、心理効果の違いを体感させます。,
,,,,22,社会的証明とアンカリング効果,「選ばれている実績」や「比較対象」を効果的に見せるUI設計。,「松竹梅」の価格表UIを設計し、アンカリングと実績表示を用いて特定プランへの誘導を実装・検証する。,比較対象（アンカー）の置き方やNo.1表記の有無で、ユーザーが感じる「お得感」や「安心感」をコントロールし、意図的に選択を誘導する設計手法を学びます。,
,,,,23,認知負荷の極限低減トレーニング,"ゲシュタルト心理学を用い、ユーザーが迷わない画面構成を徹底する。
",ゲシュタルト原則でUIを再構築し、AIに認知負荷を判定させながら「迷い」の要因を極限まで削ぎ落とす。,「情報を足す」のではなく、近接や整列（ゲシュタルト）によって「脳の処理コストを下げる」プロセスを実践し、直感的なUIの正体を論理的に解明します。,
,,,,24,AIによるABテストシミュレーション,異なる心理トリガーを用いた2案をAIに評価させ、予測される反応率を分析する。,異なる心理トリガーを実装した2案でAI仮想ABテストを行い、勝敗予測と要因を分析する。,実弾（広告費）を撃つ前に、AIを仮想ユーザーとして活用することで、仮説の精度を高め、デザインの意図と結果の因果関係を予測する力を養います。,
,,,,25,論理的説明（エビデンス）の強化,「なんとなく」を排除し、心理学用語を用いてデザインを解説する練習,直感的な制作意図をAIで翻訳し、心理学用語を用いた「論理的仕様書」を作成する。,クリエイター特有の「感覚（暗黙知）」を、AIの補助を借りて第三者に伝わる「言葉（形式知）」へ変換し、再現性のあるドキュメントに残す訓練を行います。,
,,6,"Figmaによる
高度な設計システム
（Design System）",26,一貫性を生む「デザインシステム」の構築,Atomic Designの概念を深め、大規模な案件でも崩れないルールを作る。,Atomic Designに基づくコンポーネントをFigmaで構築し、AIを用いて破綻しない命名規則と運用ガイドラインを策定する。,最小単位（Atom）から画面（Page）への組み立てを実践しつつ、AI（Gemini）に変数名やルール記述を補助させることで、属人化を防ぐ「強固なシステム」の作り方を体得します。,
,,,,27,Figmaの最新機能（Figma Make / Site）の活用,最新機能を使い、デザインから簡易的なWebサイトへと変換するフローを学ぶ。,Figma最新機能でデザインを即時Webサイト化し、ブラウザでの表示崩れを修正・最適化する。,静止画（カンプ）では気づけない、ブラウザ特有の「表示崩れ」や「レスポンシブの壁」を直に体感し、実装（エンジニアリング）を意識したデザイン思考を身につけます。,
,,,,28,インタラクティブ・プロトタイピング,実際に動くデモを作成し、クライアントへの「伝達」を加速させる。,Figmaで画面遷移と動きを実装し、実機検証を通じて操作フローの欠陥を発見・修正する。,静止画の段階では完璧に見えたデザインも、実際に「触る」と使いにくいことがあります。プロトタイプを作成することで、口頭説明なしでも直感的に伝わるか、操作にストレスがないかを検証します。,
,,,,29,AIプラグインによる自動ドキュメント化,デザインの仕様書をAIで自動生成し、ディレクション業務を効率化する。,Figmaプラグイン等で仕様書を自動生成し、開発側への引継ぎ資料を短時間で完遂させる。,手作業による記述ミスや情報の漏れを防ぎつつ、クリエイティブ以外の業務（ドキュメント作成）をAIに委譲することで、デザインの本質的な作業時間を確保します。,
,,,,30,チーム開発と共同編集の作法,非デザイナー（クライアントやエンジニア）とFigmaで円滑に意思疎通する方法,Geminiを非デザイナー役とし、Figmaコメント機能を用いて誤解のない合意形成と誘導をシミュレーションする。,クリエイティブの修正作業そのものではなく、専門用語が通じない相手への「コメントの返し方」や「見せる範囲の制御」など、トラブルを未然に防ぐためのコミュニケーション・設計スキルを養います。,
,,7,AIマーケティング・コピーとの統合,31,AIライティング（Gemini等）との連携,ターゲットの心に刺さるキャッチコピーをAIで生成する。,Geminiに詳細なペルソナを憑依させ、ターゲットの感情を動かすコピーを生成・実装する。,単に「コピーを考えて」と指示するのではなく、ターゲット像やトーン＆マナー（文体）をAIに詳細に設定（プロンプト・エンジニアリング）し、デザインの方向性と合致した言葉を引き出す技術を習得します。,
,,,,32,Logic Prompt（論理的指示）の実装,マーケティングコピーをデザインの構成案に反映させるためのAI指示出し技術。,コピーの優先順位を構造化し、AIに最適なレイアウト指示を記述させ、デザイン構成案を作成する。,「ただ文字を置く」のではなく、マーケティング上の重要度（情報の強弱）を、配置やサイズといった「視覚的な論理」へ正確に翻訳してAIに指示する技術を磨きます。,
,,,,33,バナー・広告の「勝ちパターン」量産,コピーとビジュアルをセットで、AIを用いて高速に数十パターン作成する,GeminiのコピーとNano Bananaの素材を掛け合わせ、Canvaでバナーを高速量産する。,1つを丁寧に作る職人的アプローチから、AIとデータ結合（CSV読み込み等）を駆使して「数を打ち、確率で勝つ」マーケティング的な制作アプローチへの転換を体感します。,
,,,,34,SNS動画広告の構成基礎,ショート動画の冒頭3秒で惹きつける視覚構成とAIによる素材生成。,GeminiとNano Bananaで「冒頭3秒」のフック素材を生成し、Canvaで動画化する。,動画全体の構成ではなく、離脱率が最も高い「最初の3秒」だけに全リソースを集中させ、スクロールの手を止めさせる「サムストップ（Thumb-stopping）効果」を体得させます。,
,,,,35,クリエイティブ・ディレクションの実践,AIが出した案の中から、ビジネスの文脈に合う「1案」を選び抜く審美眼を養う。,AI生成案からビジネス要件を満たす最適解を選定し、採用理由を論理的に定義する。,「作る」作業から離れ、大量の選択肢から目的（KPIやブランド規定）に合致しないものを「捨てる」、そして正解を「選ぶ」という、ディレクターに不可欠な決断力と責任を体験させます。,
,,8,商用スピードと倫理の完成,36,タイムアタック「80点のクオリティを30分で」,実際のビジネス現場で求められる圧倒的な制作スピードを体得する。,GeminiとNano Bananaで素材を即時生成し、Canvaで30分以内にバナーを完遂させる。,時間をかけて100点を目指す「職人思考」を強制終了させ、AIを活用して「合格点のクリエイティブ」を爆速でアウトプットする実務的な瞬発力を養います。,
,,,,37,AI時代の著作権と商用利用の最終チェック,商用利用のラインとAI倫理を再確認し、プロとしての防衛術を学ぶ。,Geminiと連携して「権利侵害リスクチェックリスト」を作成し、生成物の商用可否を判定・記録する。,漠然とした不安を抱えるのではなく、利用規約（ToS）の確認や類似性のチェックなど、納品前に必ず通過すべき「防衛フロー」を確立し、プロとしての安全管理能力を身につけます。,
,,,,38,クライアントの「違和感」をAIで言語化する,抽象的な修正依頼をAIに分析させ、具体的な改善策に変換する。,Geminiで曖昧な修正依頼を「具体的な視覚言語」に翻訳し、論理的な修正案を実装する。,「なんか違う」「もっとシュッと」といった非デザイナー特有の感覚的な言葉を、AIを用いて具体的なパラメータ（余白、彩度、フォントウェイト等）の調整指示へ変換し、修正の手戻りを減らす翻訳スキルを習得します。,
,,,,39,高単価案件の分析と戦略策定,クラウドサービスでの高単価案件の特徴をAIで抽出し、自身の強みと合致させる。,高単価案件の募集文をGeminiに分析させ、自身の強みを最適化した提案戦略を策定する。,労働集約的な「安売り」から脱却するため、高単価市場が求める要件（ROI意識や特定スキル）をAIで客観的にあぶり出し、自分の市場価値を定義し直す戦略眼を養います。,
,,,,40,第2か月の成果物ブラッシュアップ,ここまでの作品を「ビジネス課題を解決できる人材」としてのポートフォリオに統合する。,過去作を「課題解決事例」に再編集し、Gemini仮想面接官によるビジネス価値判定を受ける。,単なる「作品集」ではなく、クライアントの課題・アプローチ・結果（解決）をセットにした「ケーススタディ」として提示し、デザイン力ではなく解決力を売る資料へ昇華させます。,
3,"Creative Production &
Self-Packaging

AIという重機を操り、
論理（Science）で
市場を圧倒する",9,"現実を超越する画像編集（Nano Banana & Canva）

AIを「魔法の筆」として使い、素人写真から「売れる商品写真」を生み出す技術を習得します。",41,生成塗りつぶしの基礎と不要物除去,Nano BananaやCanvaを用い、写真内の不要な要素を一瞬で消去し、背景を自然に補完する。,Nano BananaとCanvaの消去機能を比較し、写真内の不要物を違和感なく除去・補完する。,「ただ消す」だけでなく、複雑な背景や影の処理において各ツールの精度（得意・不得意）を比較検証し、状況に応じて最適なツールを選択する判断力を養います。,
,,,,42,背景拡張とコンテキストの創造,商品の周囲に、ブランドの世界観に合った背景をAIで生成・拡張し、写真に奥行きを与える。,Nano Banana等のAIで商品画像の背景を拡張し、ブランドの世界観に合致した新たな空間を創造する。,単に画像を広げるだけでなく、光源やパースの整合性を保ちつつ、「高級感」「オーガニック」といった具体的なブランドの文脈（コンテキスト）を追記・生成する高度な合成技術を習得します。,
,,,,43,ライティングと雰囲気の再構築,スタジオ撮影のような照明効果や、季節感（光の加減）をAIで差し替え、視覚的な魅力を最大化する。,AIで既存写真の照明をスタジオ品質や特定の季節感へ差し替え、被写体の魅力を再構築する。,再撮影が難しい状況でも、AIを用いることで後から「光」や「空気感」をコントロールし、被写体の見え方を劇的に改善する高度なレタッチ技術を習得します。,
,,,,44,人物・モデルの最適化実験,AIを用いてモデルの表情や服装をターゲットに合わせて微調整し、親近感や憧れを演出する。,AI（Canva/Nano Banana等）でモデルの表情と服装を「信頼（スーツ・真顔）」と「親しみ（私服・笑顔）」の2パターンに書き換え、印象の変化を検証する。,「理想の素材が見つからない」と時間を浪費するのをやめ、ターゲットの心理（安心感を求めているのか、楽しさを求めているのか）に合わせて、既存画像を自在に「チューニング」する、コストパフォーマンス最強の演出術を身につけます。,
,,,,45,商用広告への昇華（ワーク）,スマホで撮った写真を、AI技術のみでプロの雑誌広告レベルまで加工しきる実践。,スマホで撮った写真を、AI技術のみでプロの雑誌広告レベルまで加工しきる実践。,元画像のクオリティ（画質・環境）という物理的な制約を、アップスケーリングや生成技術で突破し、「予算ゼロ・機材ゼロ」でもプロ品質のアウトプットが出せるというAIデザインの真価を証明します。,
,,10,"クリエイティブの爆速量産
（AI Copy × Canva）

1つの正解から、AIを駆使して「無限のバリエーション」を瞬時に生成するフローを構築します。",46,AIによるターゲット別コピー展開,Gemini等を用い、1つの商品を異なるペルソナ（例：時短重視派と品質重視派）に刺さる言葉に変換する。,Geminiに特定の商品情報を入力し、「時短重視」「品質重視」など異なるペルソナに向けた訴求コピーを生成・比較検討する。,「万人に受ける言葉は誰にも刺さらない」というマーケティングの鉄則を理解し、AIを使えば追加コストゼロで**ターゲットごとの個別最適化（パーソナライゼーション）**が可能であることを、実際の出力結果を通じて体感します。,
,,,,47,Canvaマスターテンプレートの設計,量産を前提とした、配置・フォント・色のレギュレーションを策定する,Geminiと連携して「変更不可領域（定数）」と「可変領域（変数）」を定義し、誰が編集してもブランドが崩れないCanvaマスターテンプレートを構築する。,デザインの美しさだけでなく、運用時の「事故（フォントや色の勝手な変更）」を物理的に防ぐロック機能やブランドキット活用法を学び、チームで運用可能な**「崩れない仕組み」**を作る設計力を養います。,
,,,,48,一括作成（Bulk Create）の実践,AIで生成した複数のコピーと画像をCanvaの「一括作成」機能に流し込み、数十枚のバナーを数秒で生成する。,Geminiで作成したCSVデータをCanvaに連携し、異なる訴求軸を持つ30パターンのバナーを数秒で自動生成する。,「1枚ずつ作る」という従来の常識を捨て、データ（変数）とデザイン（定数）を分離して考えることで、手作業では不可能なスピードでPDCAを回す量産型デザインの真髄を体感します。,
,,,,49,マルチサイズ・マルチデバイス展開,SNS投稿、ストーリーズ、広告バナーなど、各プラットフォームに最適化したサイズへAIで瞬時に変換する。,Canva「マジックスイッチ」等を用い、1つの正方形デザインをストーリーズ（縦長）と横長バナーへ即時展開し、レイアウトの崩れを最適化する。,単にサイズを変えるだけでなく、媒体ごとの「視線誘導（縦スクロール vs 横配置）」や「セーフエリア（アイコン被り回避）」を意識し、AIの自動変換後に必須となるラストワンマイルの調整力を養います。,
,,,,50,スピードと品質の最終チェック,大量に生成された中から、ブランドの「意図」に合致するものを瞬時に選び取る審美眼の訓練。,大量生成されたバナー群から、ブランド規定（NGライン）に基づき「採用」「修正」「破棄」を3分で仕分ける高速レビューを行う。,生成AIは大量の成果物を出しますが、そこには「ブランド毀損（色間違いやロゴ被り）」のリスクも含まれます。クリエイターの役割が「制作」から、大量の候補から正解を導き出す**「選定・責任（キュレーション）」**へシフトしたことを理解し、決断のスピードを極めます。,
,,11,"成約を生むLP（ランディングページ）設計
Geminiのライティングと視覚心理学を融合させ、ユーザーの指を止め、行動（コンバージョン）させる1枚を完成させます。",51,Geminiによる論理的構成（Logic Prompt）,マーケティングの訴求軸をAIに読み込ませ、LPの「ワイヤーフレーム（設計図）」を論理的に構築する。,Geminiに訴求軸（ベネフィット・証拠・オファー）を入力し、心理変容プロセス（PASONA/AIDA）に基づいたLP構成案と「なぜその順序か」の論拠を出力させる。,「なんとなく」の配置を排除します。ユーザーの視線と感情の動きをAIにシミュレーションさせ、デザイン着手前に「勝てる構成（設計図）」を確定させる論理的思考を身につけます。,
,,,,52,FV（ファーストビュー）の視覚心理学,視線誘導（F/Z法則）に基づき、3秒で価値が伝わるインパクトあるFVを制作する。,Zの法則に基づき、AI素材を用いて「視線がCTA（行動喚起ボタン）に自然に着地する」FVを構築し、ヒートマップツール等で視認性を検証する。,情報の多いサイト（F型）と、インパクト重視のLP（Z型）で視線の動きが異なることを理解します。単に画像を置くのではなく、ユーザーの瞳の動きを**「左上（導入）→右下（行動）」へと強制的にナビゲート**する、物理的なレイアウト設計を体得します。,
,,,,53,信頼のデザインと社会的証明,認知負荷を下げつつ、ユーザーの不安を払拭するコンテンツ配置を認知心理学の観点から設計する。,Geminiで「権威性」と「共感」のテキストを生成し、認知心理学（処理流暢性）に基づき、ユーザーが直感的に安心できる「実績・レビュー」セクションをデザインする。,人間は「読みやすい情報＝正しい・安全（処理流暢性）」と判断する傾向があります。ごちゃごちゃしたレビュー掲載は逆効果であることを理解し、AIを用いて情報の優先順位を整理。ロゴ・星評価・顔写真などを活用し、「読む」のではなく「見る」だけで信頼が伝わるレイアウトを構築します。,
,,,,54,行動を促すCTAとEFOの科学,成約率（CRO）を最大化するボタンの配置・色・言葉をAI予測に基づき最適化する。,Geminiでクリックの心理的ハードルを下げるマイクロコピーを生成し、色彩心理（フォン・レストルフ効果）に基づいた「押さずにいられないCTA」を実装する。,ボタンは単なるリンクではなく「決断のスイッチ」です。「送信する」といった事務的な言葉を排除し、「無料で資料を受け取る」のようなベネフィット提示型へ変更。さらに、周囲から孤立させて目立たせる（アイソレーション効果）デザイン処理を行い、物理的なクリック率（CTR）の向上を狙います。,
,,,,55,解像度向上とWeb最適化の最終工程,AIアップスケールで画質を高めつつ、Web表示速度のために画像を軽量化・最適化する。,AIアップスケーラーで素材を高解像度化（Retina対応）した後、次世代フォーマット（WebP/AVIF）へ変換し、画質を保ったままファイルサイズを極限まで圧縮する。,どんなに美しいLPも、表示に3秒以上かかれば半数のユーザーは離脱します。「高画質＝重い」というトレードオフを技術（AI補完と最新圧縮形式）で解消し、Googleの評価（SEO/Core Web Vitals）とユーザーの快適性を両立させる実装スキルを習得します。,
,,12,"自己のパッケージ化（ポートフォリオ）
「何を作ったか」ではなく、「なぜそれを作ったか」を論理的に語れる実績集を構築します。",56,実績の選定と「課題解決」の定義,制作した作品が「どんなビジネス課題を解決したか」という視点で実績を整理する。,Geminiを用いて、単なる「作品画像」を「STAR法（状況・課題・行動・結果）」に基づいたビジネスケーススタディへと再定義・言語化する。,クライアントは「綺麗な絵」ではなく「成果」にお金を払います。「何を作ったか」ではなく、「なぜその色にしたか」「どうやってターゲットの足を止めたか」という思考のプロセスと仮説検証の跡を言語化し、デザインの投資対効果（ROI）を説明できるビジネスパートナーとしての立ち位置を確立します。,
,,,,57,論理的説明（エビデンス）の記述,「なんとなく」を排除し、配色や配置の根拠を心理学や法則の用語を用いて言語化する。,Geminiを用いて、直感的なデザイン判断を「色彩心理」や「ゲシュタルト原則」などの専門用語を用いた論理的説明文（エビデンス）へ変換する。,「なんとなく青にしました」ではなく、「金融機関としての信頼性を担保するため、色彩心理学に基づき青を採用しました」と言語化します。デザインの意図を論理武装することで、クライアントの納得感を高め、「好み」による不毛な修正指示を封じる防御力を高めます。,
,,,,58,AIモックアップによる演出,制作物をPCやスマホの画面にはめ込んだ合成画像をAIで生成し、実務での使用シーンを演出する。,Canvaの「スマートモックアップ」や生成AI（Midjourney等）を活用し、制作したLPやバナーをPC・スマホの実機画面に合成した、リアルな使用シーン画像を生成する。,単にデザインデータを平面で並べるのではなく、「ユーザーが実際にどのような環境でその情報に触れるか」というコンテキスト（文脈）を視覚化します。これにより、ポートフォリオの説得力が増し、クライアントは自社のサービスが世に出た時のイメージを具体的に想起できるようになります。,
,,,,59,自分というブランドの構築,「IT時代の事業推進者」として、自分の強み（AI活用×論理デザイン）を伝えるプロフィールを作成する。,Geminiに自身のスキルと実績を入力し、「作業者（Doer）」ではなく「事業推進者（Enabler）」として定義するエレベーターピッチを作成する。,「Canvaが使えます」ではなく、「AIと論理的デザインを用いて、御社のマーケティングスピードを加速し、CPA（獲得単価）を改善します」という**経営目線（ROI意識）**の言語化を行い、単なる制作代行から「ビジネスパートナー」へとポジションを再定義します。,
,,,,60,ファイナル・ピッチ（成果発表）,自身のポートフォリオを使い、クライアントに「私に任せるべき理由」を論理的にプレゼンする。,Geminiを「コスト意識の高いクライアント」役に設定し、ポートフォリオを用いた模擬プレゼン（ロールプレイング）を行う。,相手はデザインそのものではなく、その先にある「売上」や「時間」を買っています。AI活用による「圧倒的なスピード（短納期）」と、データに基づいた「論理的アプローチ（再現性）」を武器に、単価競争に巻き込まれないビジネスパートナーとしての契約を勝ち取る最終試練です。,
4,"Market Entry & Real Results

市場への参入と
AIによる高速収益化",13,市場への出陣とプロフィールの最適化,61,市場の選定とAIプロフィール構築,クラウドワークス、ランサーズ、ココナラ等の特徴を分析し、主戦場を決定する。,AIを使い、自身のポートフォリオから「解決できるビジネス課題」を強調した、成約率の高いプロフィール文を作成する。,,
,,,,62,案件リサーチとAI競合分析,AIを活用し、現在の人気案件や競合の提案傾向を分析する。,自分が勝てる「穴場」の案件カテゴリー（例：CanvaによるSNS画像量産など）を特定する。,,
,,,,63,刺さる提案文（Logic Prompt）の作成,クライアントの悩み（Science）に対し、AIを使って論理的かつ説得力のある提案書を生成する。,,,
,,,,64,初回の案件応募（ピッチング）,実際に3〜5件の案件に応募し、クライアントとのコミュニケーションを開始する。,,,
,,,,65,実戦ワークフローのセットアップ,"受注を見越し、AIツール（Nano Banana Pro, Canva, Figma等）を最短で回すための自分専用の作業環境を再整備する。",,,
,,14,"マイクロタスクの高速回転
（実績づくり）",66,短期案件の完遂（バナー・SNS画像）,受注した小規模案件を、AIを駆使して「30分で80点」のスピードで仕上げ、納品する,,,"テーマ：
インプット："
,,,,67,,,,,
,,,,68,,,,,
,,,,69,エビデンスに基づく修正対応,クライアントからの要望に対し、「なんとなく」ではなく視覚心理学に基づいた修正理由を添えて再提案する。,,,
,,,,70,【ストック講義1】クライアント・コミュニケーションの心理学,非デザイナーのクライアントが抱く「違和感」をAIで言語化し、信頼を勝ち取る対話術を学ぶ。,,,
,,15,"中規模案件への挑戦
（LP・デザインシステム）",71,LP（ランディングページ）案件の獲得と着手,これまでに学んだGeminiのライティングとFigmaの設計力を活かし、単価の高いLP制作に挑戦する。,,,
,,,,72,,,,,
,,,,73,,,,,
,,,,74,視線予測AIによる最終調整,納品前にデザインをAIに読み込ませ、成果（コンバージョン）が出る配置になっているか最終チェックを行う。,,,
,,,,75,【ストック講義2】価格交渉とアップセルの論理,単なる制作だけでなく、「SNS運用のセット提案」など、AIで付加価値を付けて単価を上げる方法。,,,
,,16,"自身のブランド確立と
ディレクション",76,案件の並行管理（マルチタスク）,複数の案件をAIを部下（画工）として使いながら、納期通りに進行させるディレクション能力を磨く。,,,
,,,,77,,,,,
,,,,78,,,,,
,,,,79,自分専用AI（Gem）の現場投入,実務で頻出する修正や指示出しを、自作のGemに任せてさらなる高速化を図る。,,,
,,,,80,実践1か月の振り返りと軌道修正,獲得報酬、クライアント評価、制作スピードを数値化し、翌月の戦略を立てる。,,,
5,"第5か月・第6か月の進め方（Day 81〜120）

残りの期間は、上記のサイクルを回しながら、受講生の進捗（案件の多忙さ）に合わせて、以下の**「ストック講義」**を週に1〜2回程度差し込んでいきます。

• ストック講義候補：

◦ 高度なレタッチ技術： 最新のAI機能を使った、より難易度の高い商品写真の合成。

◦ デザイン×マーケティングデータ： ABテストの結果からデザインを改善するデータ活用術。

◦ 起業・事業化準備： 自分のサービスを立ち上げるためのブランドレギュレーションの作り方。

◦ ポートフォリオの最終磨き込み： 実戦での成果（「売上が○%上がった」など）を反映させた、最強のキャリアパッケージの完成。
",17,,81,,,,,
,,,,82,,,,,
,,,,83,,,,,
,,,,84,,,,,
,,,,85,,,,,
,,18,,86,,,,,
,,,,87,,,,,
,,,,88,,,,,
,,,,89,,,,,
,,,,90,,,,,
,,19,,91,,,,,
,,,,92,,,,,
,,,,93,,,,,
,,,,94,,,,,
,,,,95,,,,,
,,20,,96,,,,,
,,,,97,,,,,
,,,,98,,,,,
,,,,99,,,,,
,,,,100,,,,,
6,,21,,101,,,,,
,,,,102,,,,,
,,,,103,,,,,
,,,,104,,,,,
,,,,105,,,,,
,,22,,106,,,,,
,,,,107,,,,,
,,,,108,,,,,
,,,,109,,,,,
,,,,110,,,,,
,,23,,111,,,,,
,,,,112,,,,,
,,,,113,,,,,
,,,,114,,,,,
,,,,115,,,,,
,,24,,116,,,,,
,,,,117,,,,,
,,,,118,,,,,
,,,,119,,,,,
,,,,120,,,,,